n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
7,1,0,2278.85703,2278.85703,1.00000,54,5003.75500,3333.86703,1.46296,36,4986.97200,2278.85703,1.00000,156,5048.35400
7,1,1,2282.49174,2282.49174,1.00000,54,6474.31000,3862.74722,1.69234,36,6537.23300,2282.49174,1.00000,156,5646.96600
7,1,2,4106.21733,4106.21733,1.00000,54,4991.61600,5967.56818,1.45330,36,4984.92000,4106.21733,1.00000,156,5062.45900
7,1,3,4692.54183,4692.54183,1.00000,54,5018.29000,6214.00980,1.32423,36,4970.64100,4692.54183,1.00000,156,4988.60200
7,2,0,3184.51027,3184.51027,1.00000,60,5004.77600,4244.35171,1.33281,72,6482.58900,3611.96014,1.13423,282,6447.33800
7,2,1,2913.05646,2913.05646,1.00000,60,5427.05400,3480.69706,1.19486,72,5891.52800,3743.88082,1.28521,282,5078.76600
7,2,2,4068.22570,4068.22570,1.00000,60,5290.48600,7961.94964,1.95711,72,5031.36400,5839.84351,1.43548,282,4973.85400
7,2,3,4899.22390,4899.22390,1.00000,60,5027.59800,9507.96874,1.94071,72,5034.98600,5806.90732,1.18527,282,4970.44000
7,3,0,4162.37066,4162.37066,1.00000,66,6481.10800,5592.77870,1.34365,108,4995.64200,4698.17827,1.12873,408,5031.72500
7,3,1,4326.39905,4326.39905,1.00000,66,4977.30800,6103.99096,1.41087,108,6470.75100,4576.45713,1.05780,408,5047.06700
7,3,2,6915.01550,6915.01550,1.00000,66,5050.07200,11707.39806,1.69304,108,4957.09300,8070.28190,1.16707,408,6493.80900
7,3,3,7100.82983,7100.82983,1.00000,66,5012.57700,8519.65541,1.19981,108,5042.20300,9235.66725,1.30065,408,5454.42500
7,4,0,5631.84772,5631.84772,1.00000,72,6475.75000,7212.02597,1.28058,144,6138.15500,5631.84772,1.00000,534,5061.34500
7,4,1,5778.03968,5778.03968,1.00000,72,5005.39200,7890.34628,1.36557,144,4975.81600,6106.25686,1.05680,534,5043.87300
7,4,2,10349.36931,10349.36931,1.00000,72,5054.03600,14841.07729,1.43401,144,4988.34500,11417.85063,1.10324,534,5060.66600
7,4,3,10566.86507,10566.86507,1.00000,72,5023.20500,13056.12293,1.23557,144,4996.79400,10566.86507,1.00000,534,5092.20600
7,5,0,7455.83747,7455.83747,1.00000,78,5050.66300,9127.99120,1.22427,180,5020.87600,7455.83747,1.00000,660,6482.56000
7,5,1,7519.59945,7519.59945,1.00000,78,5019.83400,9036.17622,1.20168,180,5020.70900,7519.59945,1.00000,660,5007.27400
7,5,2,14516.19623,14516.19623,1.00000,78,5032.03100,19129.77939,1.31782,180,4992.01200,14516.19623,1.00000,660,5084.13000
7,5,3,14849.25746,14849.25746,1.00000,78,5019.53900,19249.55471,1.29633,180,4988.59600,14849.25746,1.00000,660,5036.10900
7,6,0,9920.15571,9920.15571,1.00000,84,6453.01100,9676.34420,0.97542,216,5762.76600,9920.15571,1.00000,786,5099.07900
7,6,1,9511.21729,9511.21729,1.00000,84,5066.61900,8981.22474,0.94428,216,4958.29000,9511.21729,1.00000,786,5107.46200
7,6,2,19091.78776,19091.78776,1.00000,84,5017.46900,16812.70036,0.88062,216,4992.93800,19091.78776,1.00000,786,5111.26900
7,6,3,19168.92515,19168.92515,1.00000,84,5043.00300,16985.68826,0.88611,216,5053.97400,19168.92515,1.00000,786,5086.36300
