n,k,instance,Classical Cost,RAS: Quantum Cost,RAS: Approximation Ratio,RAS: No. of Variables,RAS: Runtime,FQS: Quantum Cost,FQS: Approximation Ratio,FQS: No. of Variables,FQS: Runtime,GPS: Quantum Cost,GPS: Approximation Ratio,GPS: No. of Variables,GPS: Runtime
9,1,0,2469.37768,2634.50684,1.06687,88,19333.92600,5234.77500,2.11988,64,18005.31900,2909.98054,1.17843,272,18020.55200
9,1,1,3207.80446,3831.77242,1.19452,88,18037.08600,4798.10412,1.49576,64,18022.49200,4167.10341,1.29905,272,18042.71700
9,1,2,3098.30384,3434.60946,1.10855,88,18004.57100,8359.03974,2.69794,64,18035.49800,3853.37937,1.24371,272,17994.78600
9,1,3,2650.11637,3882.88179,1.46517,88,18540.49600,7189.44152,2.71288,64,17967.93600,2650.11637,1.00000,272,17992.76200
9,2,0,2382.06276,2855.66993,1.19882,96,18030.94600,3195.34779,1.34142,128,17998.24900,4553.22378,1.91146,488,18061.10500
9,2,1,3228.65982,3661.10914,1.13394,96,18048.28500,4865.63194,1.50701,128,18013.63400,7451.04154,2.30778,488,18032.03600
9,2,2,4029.18911,5819.01927,1.44422,96,18033.47400,11042.62387,2.74066,128,17976.35000,8641.92334,2.14483,488,18654.88200
9,2,3,3364.41552,5112.03384,1.51944,96,19472.50100,6155.05434,1.82946,128,18053.35400,7833.40312,2.32831,488,17973.82400
9,3,0,2423.88549,2788.84201,1.15057,104,18546.22400,4630.94799,1.91055,192,18026.17900,4918.82849,2.02932,704,18085.05700
9,3,1,4296.66379,4463.51275,1.03883,104,18010.58900,7546.98439,1.75648,192,19368.63100,7926.89317,1.84489,704,19447.68900
9,3,2,5530.78580,8209.08938,1.48425,104,17994.72500,11013.49186,1.99131,192,18024.88000,15609.93321,2.82237,704,18072.75900
9,3,3,4513.96188,6563.78099,1.45411,104,19479.42900,8597.71981,1.90469,192,18027.13100,,,704,17891.52900
9,4,0,2750.50290,3083.11373,1.12093,112,18051.01900,5607.12133,2.03858,256,17983.03300,,,920,18015.03200
9,4,1,5438.13768,5881.86987,1.08160,112,18018.64600,9646.77586,1.77391,256,19531.77700,10741.21028,1.97516,920,18087.65700
9,4,2,7634.56289,10163.76757,1.33128,112,18034.85800,17008.33815,2.22781,256,17977.80600,14004.93250,1.83441,920,18031.47500
9,4,3,6088.25173,8260.42450,1.35678,112,18018.07800,12300.51522,2.02037,256,18179.44900,15728.91581,2.58349,920,19103.13800
9,5,0,3232.87918,3255.71438,1.00706,120,18002.88700,6615.09547,2.04619,320,17963.79800,4559.62243,1.41039,1136,19456.56600
9,5,1,6645.00555,7023.34376,1.05694,120,18013.67800,10862.49407,1.63469,320,17998.53000,10738.85665,1.61608,1136,18040.09900
9,5,2,11675.65101,12251.15651,1.04929,120,18073.93500,21131.64880,1.80989,320,18022.35100,22264.87634,1.90695,1136,18007.24100
9,5,3,8530.61674,8920.14973,1.04566,120,18037.31900,13058.76698,1.53081,320,17996.99600,13257.16777,1.55407,1136,18069.33400
9,6,0,3783.97753,3783.97753,1.00000,128,18044.00900,7214.11810,1.90649,384,18023.97200,5579.29525,1.47445,1352,18096.14500
9,6,1,8230.21163,8230.21163,1.00000,128,18051.56900,13243.78684,1.60917,384,18001.92600,12338.14879,1.49913,1352,18112.94900
9,6,2,16539.94850,16539.94850,1.00000,128,18013.36200,21397.37865,1.29368,384,18000.94900,22914.13377,1.38538,1352,18058.94700
9,6,3,12036.46916,12036.46916,1.00000,128,18003.18300,14646.21191,1.21682,384,18046.38600,14583.03612,1.21157,1352,18063.21000
9,7,0,5410.00904,5410.00904,1.00000,136,19448.28800,6782.65581,1.25372,448,17978.18800,6563.17476,1.21315,1568,18077.59400
9,7,1,10611.50440,10611.50440,1.00000,136,18048.56100,13786.20121,1.29917,448,18054.91000,10611.50440,1.00000,1568,18149.25300
9,7,2,22627.44005,22627.44005,1.00000,136,17996.33500,27243.87199,1.20402,448,19111.90800,25128.69332,1.11054,1568,19441.17000
9,7,3,15644.86066,15644.86066,1.00000,136,18063.83900,19065.57088,1.21865,448,18039.12700,17835.69457,1.14004,1568,18055.53400
9,8,0,7114.27312,7114.27312,1.00000,144,18032.56800,7298.36349,1.02588,512,18370.51900,7114.27312,1.00000,1784,18130.04100
9,8,1,13681.70674,13681.70674,1.00000,144,18030.21800,14085.20105,1.02949,512,18045.79700,13681.70674,1.00000,1784,18082.06100
9,8,2,29108.57950,29108.57950,1.00000,144,18023.86100,29108.57950,1.00000,512,18032.41700,,,1784,18080.91600
9,8,3,19409.98442,19409.98442,1.00000,144,18066.66400,17816.70483,0.91791,512,18017.24800,19409.98442,1.00000,1784,18076.22700
